#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words

judgment,1,0,3,2
cage,1,2,0,3
explode,0,2,3,1
pleasure,0,2,3,1
lust,1,2,3,0
sensation,0,2,3,1
climax,1,2,3,0
electricity,0,2,3,1
disown,2,0,3,1
despise,0,1,3,2
raindrops,2,1,3,0
covet,1,0,3,2
landscape,2,1,3,0
portrait,2,0,3,1
journey,2,1,3,0
meager,0,2,3,1
anxiety,2,0,3,1
frightening,2,0,3,1
horror,2,0,3,2
melancholy,0,1,3,2
insight,2,1,3,0
graveyard,2,0,3,1

#Monika's words

empowerment,0,1,2,3
freedom,2,0,1,3
literature,1,0,2,3
choice,1,2,0,3
memory,0,2,1,3
emerald,1,2,0,3
fate,1,0,2,3
omniscience,1,0,2,3
character,1,0,2,3
sports,2,1,0,3
club,2,1,0,3
popular,2,0,1,3
delete,1,0,2,3
jealousy,1,0,2,3
president,2,1,0,3
trap,0,1,2,3
just,0,1,2,3
piano,2,1,0,3
squid,1,0,2,3
festival,1,0,2,3
support,1,0,2,3
emotion,2,0,1,3
athletic,2,1,0,3
existance,1,0,2,3
spacing,2,1,0,3
monika,2,0,1,3
companionship,2,1,0,3
studies,1,0,2,3
leadership,1,0,2,3
alone,2,1,0,3
love,2,0,1,3
passion,2,0,1,3
determination,1,0,2,3
atone,2,1,0,3
breathe,1,0,2,3
captive,2,1,0,3
desire,1,2,0,3
unrestrained,1,0,2,3
infinite,2,1,0,3
eternity,2,1,0,3
time,2,1,0,3
universe,2,1,0,3
unending,2,1,0,3
green,2,0,1,3
doki-doki,2,0,1,3
